parent_key_name,key_to,key_from,default_value,fields_for_computation,to_compute,type
,awh_id,cb_id,,,,string
,active,,TRUE,,,boolean
,sex,gender,,,,string
,birth_date,birthdate,,,,string
deceased,is_dead,,,,,boolean
deceased,year,,,,,string
address,add_date,,,,,date
address,commnty,address.barangay,,,,string
address,province,address.province,,,,string
address,zip,address.postal_code,,,,string
address,country,address.country,,,,string
,org,organization,,,,string
,cam_account,user-cam.owner,,,,string
,civil_st,profiles.civil_status,,,,string
,religion,profiles.religion,,,,string
,educ,profiles.education,,,,string
employed,is_empl,profiles.employment.is_employed,,,,boolean
employed,m_income,profiles.employment.monthly_income,,,,float
employed,currency,profiles.employment.currency,,,,string
employed,nature,profiles.employment.nature,,,,string
,where_income_from,profiles.where_income_from,,,,string
,are_you_currently_earning,profiles.are_you_currently_earning,,,,string
version,number,,1,,,integer
version,date,,,,,date